"","shares","num_hrefs","num_imgs","num_videos","is_popular"
"1",593,4,1,0,"0"
"2",711,3,1,0,"0"
"3",1500,3,1,0,"1"
"4",1200,9,1,0,"0"
"5",505,19,20,0,"0"
"6",855,2,0,0,"0"
"7",556,21,20,0,"0"
"8",891,20,20,0,"0"
"9",3600,2,0,0,"1"
"10",710,4,1,1,"0"
"11",2200,11,1,0,"1"
"12",1900,7,1,0,"1"
"13",823,18,11,0,"0"
"14",10000,4,0,21,"1"
"15",761,19,9,0,"0"
"16",1600,10,1,0,"1"
"17",13600,26,12,1,"1"
"18",3100,11,1,0,"1"
"19",5700,3,1,0,"1"
"20",17100,24,42,0,"1"
"21",2800,21,20,0,"1"
"22",598,9,1,1,"0"
"23",445,20,20,0,"0"
"24",1500,1,1,0,"1"
"25",852,3,1,0,"0"
"26",783,5,1,0,"0"
"27",1500,5,1,0,"1"
"28",1800,22,28,0,"1"
"29",462,1,0,0,"0"
"30",425,18,1,0,"0"
"31",3200,8,1,1,"1"
"32",3900,2,19,0,"1"
"33",480,0,14,0,"0"
"34",573,5,1,0,"0"
"35",3600,7,1,0,"1"
"36",343,4,1,0,"0"
"37",7700,27,20,0,"1"
"38",2600,9,0,1,"1"
"39",504,8,1,0,"0"
"40",2100,4,0,1,"1"
"41",1100,21,20,0,"0"
"42",401,0,1,0,"0"
"43",4200,24,42,0,"1"
"44",1200,19,20,0,"0"
"45",1500,20,20,0,"1"
"46",575,2,1,0,"0"
"47",507,25,20,0,"0"
"48",1200,5,0,6,"0"
"49",695,21,20,0,"0"
"50",1200,20,20,0,"0"
"51",4900,2,0,1,"1"
"52",382,21,20,0,"0"
"53",400,21,20,0,"0"
"54",4600,5,1,0,"1"
"55",2400,21,20,0,"1"
"56",1600,7,1,0,"1"
"57",1100,11,1,0,"0"
"58",1300,7,0,0,"0"
"59",819,9,23,0,"0"
"60",585,5,10,1,"0"
"61",536,19,19,0,"0"
"62",834,3,1,0,"0"
"63",645,22,20,0,"0"
"64",598,1,4,0,"0"
"65",217,21,20,0,"0"
"66",3200,3,1,0,"1"
"67",545,1,1,1,"0"
"68",1800,7,1,0,"1"
"69",1200,4,1,0,"0"
"70",732,3,1,0,"0"
"71",1200,8,1,0,"0"
"72",2800,4,1,0,"1"
"73",495,3,1,0,"0"
"74",690,14,11,0,"0"
"75",1300,19,20,0,"0"
"76",552,7,1,0,"0"
"77",631,3,12,1,"0"
"78",4800,10,1,1,"1"
"79",851,15,1,0,"0"
"80",755,5,0,0,"0"
"81",468,8,1,0,"0"
"82",4600,4,9,0,"1"
"83",1300,5,1,0,"0"
"84",1200,14,1,0,"0"
"85",1100,5,9,0,"0"
"86",1500,20,20,0,"1"
"87",2400,20,16,0,"1"
"88",1200,3,1,0,"0"
"89",1700,3,1,1,"1"
"90",1200,21,20,0,"0"
"91",500,20,20,0,"0"
"92",455,6,13,0,"0"
"93",1100,1,0,0,"0"
"94",459,17,1,0,"0"
"95",1400,26,1,0,"1"
"96",6400,5,1,0,"1"
"97",4800,6,11,0,"1"
"98",695,20,19,0,"0"
"99",341,32,1,0,"0"
"100",1900,3,0,11,"1"
"101",1200,3,0,1,"0"
"102",450,23,19,0,"0"
"103",663,19,19,0,"0"
"104",302,36,19,0,"0"
"105",971,7,1,0,"0"
"106",1400,1,10,0,"1"
"107",1000,5,1,0,"0"
"108",1900,5,0,0,"1"
"109",1100,10,1,0,"0"
"110",1100,24,20,0,"0"
"111",1500,3,8,1,"1"
"112",2000,5,1,0,"1"
"113",5700,2,0,1,"1"
"114",7100,5,10,1,"1"
"115",1200,28,20,0,"0"
"116",705,2,0,0,"0"
"117",1900,7,1,0,"1"
"118",3800,13,11,0,"1"
"119",2300,10,1,0,"1"
"120",575,2,0,0,"0"
"121",1800,8,1,0,"1"
"122",1600,5,0,0,"1"
"123",1900,6,1,0,"1"
"124",5600,9,1,1,"1"
"125",1500,12,1,0,"1"
"126",9200,3,1,0,"1"
"127",1700,5,1,11,"1"
"128",6000,4,8,0,"1"
"129",752,2,11,0,"0"
"130",19400,5,0,3,"1"
"131",1700,7,1,0,"1"
"132",1600,20,19,0,"1"
"133",788,19,20,0,"0"
"134",454,1,0,0,"0"
"135",1100,23,28,0,"0"
"136",2800,11,1,1,"1"
"137",1600,13,11,1,"1"
"138",2000,28,10,1,"1"
"139",412,2,1,0,"0"
"140",1100,4,0,0,"0"
"141",417,31,26,0,"0"
"142",1600,19,8,0,"1"
"143",2500,3,1,0,"1"
"144",474,8,1,0,"0"
"145",2100,6,1,0,"1"
"146",513,1,0,1,"0"
"147",10400,10,1,0,"1"
"148",2200,32,15,0,"1"
"149",5600,10,1,0,"1"
"150",373,11,1,0,"0"
"151",1000,9,1,0,"0"
"152",3200,2,0,0,"1"
"153",657,4,0,1,"0"
"154",2100,2,1,0,"1"
"155",727,3,1,0,"0"
"156",350,3,13,0,"0"
"157",1900,3,1,0,"1"
"158",1200,22,20,0,"0"
"159",2800,4,1,0,"1"
"160",341,10,1,0,"0"
"161",648,12,1,0,"0"
"162",1300,2,9,0,"0"
"163",1000,21,20,0,"0"
"164",1300,20,20,0,"0"
"165",1700,8,1,0,"1"
"166",4600,5,0,0,"1"
"167",2700,8,1,0,"1"
"168",1700,21,19,0,"1"
"169",450,7,1,1,"0"
"170",939,4,0,0,"0"
"171",1600,2,1,0,"1"
"172",866,21,19,0,"0"
"173",606,3,1,0,"0"
