shares,num_hrefs,num_imgs,num_videos,is_popular
1200,9,1,0,0
891,20,20,0,0
761,19,9,0,0
598,9,1,1,0
445,20,20,0,0
852,3,1,0,0
343,4,1,0,0
504,8,1,0,0
1200,19,20,0,0
575,2,1,0,0
507,25,20,0,0
1200,5,0,6,0
695,21,20,0,0
1200,20,20,0,0
382,21,20,0,0
1100,11,1,0,0
1300,7,0,0,0
819,9,23,0,0
536,19,19,0,0
834,3,1,0,0
598,1,4,0,0
545,1,1,1,0
732,3,1,0,0
1200,8,1,0,0
1300,19,20,0,0
552,7,1,0,0
631,3,12,1,0
468,8,1,0,0
1300,5,1,0,0
1200,14,1,0,0
1100,5,9,0,0
1200,3,1,0,0
1200,21,20,0,0
500,20,20,0,0
455,6,13,0,0
1200,3,0,1,0
450,23,19,0,0
663,19,19,0,0
302,36,19,0,0
971,7,1,0,0
1200,28,20,0,0
705,2,0,0,0
575,2,0,0,0
752,2,11,0,0
788,19,20,0,0
454,1,0,0,0
1100,23,28,0,0
417,31,26,0,0
474,8,1,0,0
513,1,0,1,0
373,11,1,0,0
1000,9,1,0,0
657,4,0,1,0
1200,22,20,0,0
341,10,1,0,0
648,12,1,0,0
1000,21,20,0,0
1300,20,20,0,0
450,7,1,1,0
939,4,0,0,0
606,3,1,0,0
529,9,1,0,0
958,7,0,0,0
1200,5,1,0,0
427,8,1,0,0
972,7,1,0,0
979,5,0,21,0
737,10,1,0,0
396,45,19,0,0
484,16,11,0,0
441,6,1,0,0
922,8,0,0,0
473,11,1,0,0
1300,3,0,21,0
1300,27,20,0,0
933,10,1,0,0
308,9,1,0,0
1200,7,1,1,0
657,2,0,1,0
1200,38,11,3,0
1300,5,1,0,0
698,3,1,0,0
1100,6,0,11,0
1200,6,1,0,0
751,6,1,11,0
802,2,0,1,0
835,19,34,0,0
1000,2,0,1,0
1000,4,1,0,0
924,7,1,0,0
1100,45,1,1,0
1100,5,0,0,0
1100,3,1,0,0
840,4,19,1,0
1100,23,20,0,0
1000,3,1,0,0
1300,31,20,0,0
731,18,1,0,0
894,3,1,2,0
1300,44,16,2,0
630,6,1,0,0
636,1,1,0,0
476,3,1,0,0
586,19,1,0,0
992,3,1,0,0
950,7,1,1,0
903,4,0,1,0
862,3,1,0,0
1100,8,1,0,0
498,8,1,0,0
1300,6,1,0,0
1300,16,13,0,0
1200,3,1,0,0
429,2,0,21,0
811,11,1,0,0
756,3,1,0,0
498,7,1,0,0
1300,8,0,0,0
440,8,0,0,0
1200,5,1,0,0
1300,11,42,0,0
718,6,1,0,0
581,12,1,0,0
1200,17,1,0,0
1100,8,1,0,0
462,3,1,0,0
593,20,9,0,0
1300,9,1,0,0
1100,6,1,0,0
725,5,1,0,0
787,1,1,0,0
463,7,1,1,0
368,2,1,0,0
1300,5,0,0,0
957,5,0,1,0
1200,13,11,0,0
484,7,1,0,0
568,15,1,0,0
968,6,0,1,0
768,8,1,0,0
635,4,1,0,0
1000,4,1,0,0
902,8,1,0,0
1200,14,1,0,0
1000,6,0,0,0
660,5,1,1,0
757,12,1,0,0
514,18,15,1,0
1200,6,1,0,0
504,5,0,0,0
416,13,1,0,0
900,23,16,1,0
529,33,1,0,0
575,8,0,0,0
1200,7,1,0,0
1200,8,1,0,0
1300,7,1,0,0
560,10,1,0,0
782,5,1,0,0
1300,10,1,0,0
554,4,0,0,0
638,6,0,0,0
712,4,1,0,0
438,8,1,0,0
935,7,1,0,0
804,2,0,0,0
864,5,22,0,0
847,2,1,0,0
917,4,1,0,0
1200,28,21,0,0
673,5,1,0,0
938,11,1,0,0
1200,1,0,0,0
672,9,1,6,0
1100,28,11,1,0
1100,8,1,0,0
610,7,1,0,0
870,10,1,0,0
1200,6,1,0,0
1100,5,1,0,0
844,5,1,0,0
744,20,1,1,0
690,3,1,0,0
802,8,0,1,0
875,9,1,0,0
